2025-07-15 02:04:57 | INFO     | natal_mobile_auto.conftest:pytest_runtest_setup:99 - Starting test: test_NAF_4_3_0_view_recommended_programs
2025-07-15 02:04:57 | INFO     | natal_mobile_auto.conftest:setup_and_teardown_test:60 - Setting up test function
2025-07-15 02:04:57 | INFO     | core.driver_manager:restart_app:103 - App restarted successfully
2025-07-15 02:04:57 | INFO     | natal_mobile_auto.tests.test_4_Program_Management:setup_and_teardown:21 - App restarted successfully
2025-07-15 02:05:06 | INFO     | pages.program_list_page:wait_for_programs_page:34 - Programs page loaded successfully (found 'people joined' text)
2025-07-15 02:05:07 | INFO     | pages.program_list_page:get_program_cards:67 - Found 1 program cards (each with 'people joined' text)
2025-07-15 02:05:07 | INFO     | pages.program_list_page:click_program_card:80 - Clicked program card at index 0
2025-07-15 02:05:13 | INFO     | core.base_page:click_element:87 - Clicked element: id=android:id/button1
2025-07-15 02:05:13 | INFO     | pages.program_detail_page:error_getting_offers_tip:199 - Clicked the error getting offers tips ok button, should not happen in real phone
2025-07-15 02:05:14 | INFO     | natal_mobile_auto.conftest:pytest_runtest_teardown:104 - Completed test: test_NAF_4_3_0_view_recommended_programs
2025-07-15 02:05:14 | INFO     | core.driver_manager:restart_app:103 - App restarted successfully
2025-07-15 02:05:14 | INFO     | natal_mobile_auto.tests.test_4_Program_Management:setup_and_teardown:33 - App restarted after test completion
2025-07-15 02:05:14 | INFO     | natal_mobile_auto.conftest:setup_and_teardown_test:64 - Tearing down test function
