"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Mobile App Testing-Android","1","14.0.0 Community","3","0","14.2.0 As a user I want to create text or text + image posts to share with the community","0"
"0","Mobile App Testing-Android","0","2.0.0 Authentication","2","0","2.5.0 As a user, I want to be able to log out from the app","0"
"0","Mobile App Testing-Android","0","2.0.0 Authentication","3","0","2.2.0 As a user, I want to log in with my email and password","0"
"1","Mobile App Testing-Android","0","3.0.0 Account Setup","3","0","3.4.0 As a registered user I can view and update my profile settings","0"
"0","Mobile App Testing-Android","0","14.0.0 Community","2","0","14.4.0 As a user, I want to interact with post: 'Like' post, leave comments","0"
"0","Mobile App Testing-Android","0","3.0.0 Account Setup","0","1","3.3.0 As a registered user I can view and update profile image","0"
"0","Mobile App Testing-Android","0","3.0.0 Account Setup","2","0","3.5.0 As a registered user I can add my kids info in my profile page","0"
"0","Mobile App Testing-Android","0","2.0.0 Authentication","1","0","2.3.0 As a user I want to reset my password if I forget it","0"
"0","Mobile App Testing-Android","0","4.0.0 Program Management","1","0","4.10.0 As a user I should be able to make progress in the program by completing each step of it","0"
"0","Mobile App Testing-Android","0","4.0.0 Program Management","1","0","4.2.0 As a user during onboarding, I should be able to start one of the recommended programs right from the onboarding","0"
"0","Mobile App Testing-Android","0","3.0.0 Account Setup","1","0","3.2.0 As a registered user I can view and update my bio","0"
"0","Mobile App Testing-Android","0","14.0.0 Community","1","0","14.1.0 As a user, I want to join a community based on my selected stage during onboarding.","0"
"0","Mobile App Testing-Android","0","4.0.0 Program Management","1","0","4.5.0 As a user I can enroll/unenroll any of the programs","0"
"0","Mobile App Testing-Android","1","2.0.0 Authentication","0","0","2.4.0 As a user, I want to stay logged in for as long as possible, so that I don't have to log in frequently","0"
"0","Mobile App Testing-Android","0","4.0.0 Program Management","1","0","4.3.0 As a user on the home page I should be able to see the list of recommended programs","0"
"0","Mobile App Testing-Android","0","4.0.0 Program Management","1","0","4.8.0 As a user I should be able to check programs details","0"
"0","Mobile App Testing-Android","0","2.0.0 Authentication","1","0","2.5.0 As a user, I want to log out and log back in","0"
"0","Mobile App Testing-Android","0","3.0.0 Account Setup","1","0","3.7.0 As a registered user I can edit my current stage","0"
